127.0.0.1 - - [24/Nov/2018:18:59:45 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:49 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /tomcat.png HTTP/1.1" 200 5103
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /tomcat.css HTTP/1.1" 200 5581
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /bg-middle.png HTTP/1.1" 200 1918
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /bg-upper.png HTTP/1.1" 200 3103
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /bg-button.png HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /bg-nav.png HTTP/1.1" 200 1401
0:0:0:0:0:0:0:1 - - [24/Nov/2018:18:59:50 -0500] "GET /asf-logo-wide.svg HTTP/1.1" 200 27235
0:0:0:0:0:0:0:1 - - [24/Nov/2018:19:00:37 -0500] "GET /Jupiter/search?lat=37.38&lon=-122.08 HTTP/1.1" 200 5989
0:0:0:0:0:0:0:1 - - [24/Nov/2018:19:31:19 -0500] "GET /Jupiter/search?lat=37.38&lon=-122.08 HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [24/Nov/2018:19:31:20 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
