127.0.0.1 - - [08/Dec/2018:17:32:06 -0500] "GET / HTTP/1.1" 200 11286
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:41 -0500] "GET /Jupiter/ HTTP/1.1" 200 3158
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:41 -0500] "GET /Jupiter/styles/main.css HTTP/1.1" 200 3295
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:41 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 200 14031
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:47 -0500] "GET /Jupiter/search?user_id=1111&lat=33.8320&lon=-84.3851 HTTP/1.1" 200 8139
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:51 -0500] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:51 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:51 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:53 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:32:57 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:33:00 -0500] "GET /Jupiter/recommendation?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 32184
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:33:01 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:35:55 -0500] "GET /Jupiter/recommendation?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 32184
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:35:57 -0500] "GET /Jupiter/search?user_id=1111&lat=33.8320&lon=-84.3851 HTTP/1.1" 200 8139
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:40:33 -0500] "POST /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:40:34 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:40:35 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:40:36 -0500] "POST /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:40:37 -0500] "POST /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:40:38 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:55:38 -0500] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2018:17:55:38 -0500] "GET /Jupiter/scripts/main.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:36:26 -0500] "GET /favicon.ico HTTP/1.1" 200 21630
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:36:27 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1611
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:36:30 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:56:15 -0500] "GET /Jupiter/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:56:16 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:58:51 -0500] "POST /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:58:55 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:58:57 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [08/Dec/2018:18:58:59 -0500] "GET /Jupiter/recommendation?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 32184
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:18:24 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:18:38 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:18:41 -0500] "POST /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:18:42 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1622
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:18:49 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:08 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:19 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 1205
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:21 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:22 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:23 -0500] "DELETE /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:24 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8576
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:25 -0500] "POST /Jupiter/history HTTP/1.1" 200 20
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:27 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:28 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8575
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:29 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 453
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:30 -0500] "GET /Jupiter/search?user_id=1111&lat=37.38&lon=-122.08 HTTP/1.1" 200 8575
0:0:0:0:0:0:0:1 - - [08/Dec/2018:19:20:30 -0500] "GET /Jupiter/history?user_id=1111 HTTP/1.1" 200 453
